,,0,1,2,3,4
60M,BLEU,33.11925388627939,32.7833932460876,32.756622443479245,33.13020716517107,32.70089092926562
60M,SemanticSimilarity,55.16224321161839,55.556536812951904,55.010545876178966,55.06697754481715,55.323368310928345
60M,ExactMatch,18.228009135094105,17.964322420118673,18.18781970675486,18.162394970472587,18.16612729234088
220M,BLEU,33.94853965018914,34.1675227894378,34.18103074813241,33.61934244870176,33.740172563511045
220M,SemanticSimilarity,55.57091645935682,55.6512271259293,56.41486612161673,56.4442132106292,56.01799488067627
220M,ExactMatch,19.01464800144843,18.916795703587326,19.584728044206702,18.929765046190457,19.341963322545848
CodeT5,BLEU,25.722982171566763,26.611847321648575,26.296567309999414,26.171632968668426,26.150251465920164
CodeT5,SemanticSimilarity,54.78429653040629,54.582023984896146,54.12207288801078,54.686338082165896,54.4459342956543
CodeT5,ExactMatch,8.957776645089046,9.168973402997176,9.160623577743074,8.259614483748667,8.694714131607336
nngen,BLEU,24.585626155612694,23.402249496350695,24.243217246347477,24.213618154135915,24.371633492945303
nngen,SemanticSimilarity,47.272665046934,47.91375225482423,47.92781047977874,46.276535573337746,47.27348983287811
nngen,ExactMatch,14.264877985133417,14.823174016949594,13.457270396528621,14.14539937500497,14.153182308522114
commitgen,BLEU,9.943238751274215,9.943238751274215,9.943238751274215,9.943238751274215,9.943238751274215
commitgen,SemanticSimilarity,35.39361357688904,35.39361357688904,35.39361357688904,35.39361357688904,35.39361357688904
commitgen,ExactMatch,1.035598705501618,1.035598705501618,1.035598705501618,1.035598705501618,1.035598705501618
pyflakes,BLEU,0.2804804668626948,0.2804804668626948,0.2804804668626948,0.2804804668626948,0.2804804668626948
pyflakes,SemanticSimilarity,5.545268580317497,5.545268580317497,5.545268580317497,5.545268580317497,5.545268580317497
pyflakes,ExactMatch,0.0,0.0,0.0,0.0,0.0
